"Basin","Subbasin","Date","Year","Month","Avg_rainfall","Agency_name"
"Cauvery Basin","Cauvery Lower","2023-01-10","2023","01","NA","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Lower","2023-01-11","2023","01","NA","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Lower","2023-01-12","2023","01","NA","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Lower","2023-01-13","2023","01","0.0080878248","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Lower","2023-01-14","2023","01","NA","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Lower","2023-01-15","2023","01","NA","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Lower","2023-01-17","2023","01","NA","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Lower","2023-01-18","2023","01","NA","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Lower","2023-01-19","2023","01","NA","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Lower","2023-01-20","2023","01","NA","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Lower","2023-01-21","2023","01","0.1525675319","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Lower","2023-01-22","2023","01","NA","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Lower","2023-01-23","2023","01","0.073318979","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Lower","2023-01-24","2023","01","2.0218298175","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Middle","2023-01-02","2023","01","0.0063947786","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Middle","2023-01-01","2023","01","NA","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Middle","2023-01-03","2023","01","0.013662067","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Middle","2023-01-04","2023","01","NA","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Middle","2023-01-05","2023","01","NA","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Middle","2023-01-06","2023","01","NA","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Middle","2023-01-07","2023","01","8.18164E-5","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Middle","2023-01-08","2023","01","0.0039246705","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Middle","2023-01-09","2023","01","NA","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Middle","2023-01-10","2023","01","0.024448972","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Middle","2023-01-11","2023","01","0.0142856766","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Middle","2023-01-12","2023","01","0.0007038993","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Middle","2023-01-13","2023","01","0.0166921144","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Middle","2023-01-14","2023","01","NA","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Middle","2023-01-15","2023","01","0.0010635689","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Middle","2023-01-17","2023","01","0.0255527349","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Middle","2023-01-18","2023","01","0.0236005882","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Middle","2023-01-19","2023","01","0.0105855935","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Middle","2023-01-20","2023","01","0.0056169057","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Middle","2023-01-21","2023","01","0.0099771943","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Middle","2023-01-22","2023","01","0.0051005385","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Middle","2023-01-23","2023","01","0.0100378937","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Middle","2023-01-24","2023","01","0.4746251665","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Upper","2023-01-02","2023","01","0.0112140934","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Upper","2023-01-01","2023","01","NA","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Upper","2023-01-03","2023","01","0.0112140934","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Upper","2023-01-04","2023","01","NA","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Upper","2023-01-05","2023","01","NA","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Upper","2023-01-06","2023","01","NA","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Upper","2023-01-07","2023","01","NA","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Upper","2023-01-08","2023","01","NA","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Upper","2023-01-09","2023","01","NA","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Upper","2023-01-10","2023","01","0.0050198811","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Upper","2023-01-11","2023","01","0.0006395821","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Upper","2023-01-12","2023","01","NA","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Upper","2023-01-13","2023","01","NA","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Upper","2023-01-14","2023","01","NA","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Upper","2023-01-15","2023","01","NA","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Upper","2023-01-17","2023","01","0.0205277995","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Upper","2023-01-18","2023","01","0.0027041785","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Upper","2023-01-19","2023","01","0.0193016313","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Upper","2023-01-20","2023","01","NA","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Upper","2023-01-21","2023","01","NA","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Upper","2023-01-22","2023","01","NA","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Upper","2023-01-23","2023","01","0.0008227774","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Upper","2023-01-24","2023","01","0.0044938867","NRSC VIC MODEL"
"East flowing rivers between Mahanadi and Pennar Basin","East flowing rivers between Godavari and krishna","2023-01-01","2023","01","NA","NRSC VIC MODEL"
"East flowing rivers between Mahanadi and Pennar Basin","East flowing rivers between Godavari and krishna","2023-01-02","2023","01","0.1821917376","NRSC VIC MODEL"
"East flowing rivers between Mahanadi and Pennar Basin","East flowing rivers between Godavari and krishna","2023-01-03","2023","01","0.0121481584","NRSC VIC MODEL"
"East flowing rivers between Mahanadi and Pennar Basin","East flowing rivers between Godavari and krishna","2023-01-04","2023","01","NA","NRSC VIC MODEL"
"East flowing rivers between Mahanadi and Pennar Basin","East flowing rivers between Godavari and krishna","2023-01-05","2023","01","0.1996369198","NRSC VIC MODEL"
"East flowing rivers between Mahanadi and Pennar Basin","East flowing rivers between Godavari and krishna","2023-01-07","2023","01","NA","NRSC VIC MODEL"
"East flowing rivers between Mahanadi and Pennar Basin","East flowing rivers between Godavari and krishna","2023-01-06","2023","01","0.1451889155","NRSC VIC MODEL"
