"Basin","Subbasin","Date","Year","Month","Avg_rainfall","Agency_name"
"Brahamaputra Basin","Brahmaputra Upper","2022-12-01","2022","12","0.1919122942","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2022-12-02","2022","12","0.2225283774","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2022-12-04","2022","12","0.3544604539","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2022-12-03","2022","12","0.1390353235","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2022-12-05","2022","12","0.3053088617","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2022-12-06","2022","12","0.1699686286","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2022-12-07","2022","12","0.003808817","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2022-12-09","2022","12","0.0230879216","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2022-12-11","2022","12","0.0114660568","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2022-12-10","2022","12","0.1501929442","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2022-12-12","2022","12","0.0123649842","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2022-12-13","2022","12","0.007716772","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2022-12-14","2022","12","0.0273707975","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2022-12-15","2022","12","0.0066749679","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2022-12-16","2022","12","0.0203591961","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2022-12-17","2022","12","0.0068800804","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2022-12-18","2022","12","0.0215454972","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2022-12-19","2022","12","0.0218213831","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2022-12-20","2022","12","0.0130275806","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2022-12-21","2022","12","0.0248148589","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2022-12-22","2022","12","0.0151325964","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2022-12-23","2022","12","0.0210443556","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2022-12-24","2022","12","0.0007401897","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2022-12-25","2022","12","0.6157862109","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2022-12-26","2022","12","1.4433582705","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2022-12-27","2022","12","2.8097269302","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2022-12-28","2022","12","1.5031577187","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2022-12-01","2022","12","NA","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2022-12-02","2022","12","NA","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2022-12-03","2022","12","0.0001873964","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2022-12-04","2022","12","NA","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2022-12-05","2022","12","0.0002248757","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2022-12-06","2022","12","NA","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2022-12-07","2022","12","NA","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2022-12-09","2022","12","0.0017389366","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2022-12-10","2022","12","0.0706074278","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2022-12-11","2022","12","0.2183504557","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2022-12-12","2022","12","NA","NRSC VIC MODEL"
